Label,Type,ID
WikiPathways,Ontology,WikiPathways
BAO,Ontology,BAO
DrugCentral,Ontology,DrugCentral
CCF,Ontology,CCF
MMX,Ontology,MMX
GAZ,Ontology,GAZ
APOLLO_SV,Ontology,APOLLO_SV
Chemical Entities of Biological Interest (ChEBI),Ontology,Chemical Entities of Biological Interest (ChEBI)
MI,Ontology,MI
CLINGEN,Ontology,CLINGEN
ICD10AM,Ontology,ICD10AM
OBIB,Ontology,OBIB
HGNCHPO,Ontology,HGNCHPO
MTHCMSFRF,Ontology,MTHCMSFRF
PGO,Ontology,PGO
Human Interactome Database,Ontology,Human Interactome Database
ASP2019,Ontology,ASP2019
RO,Ontology,RO
FMA,Ontology,FMA
CHEBI,Ontology,CHEBI
NOC,Ontology,NOC
MOTRPAC,Ontology,MOTRPAC
Ontology of Biological Attributes (OBA),Ontology,Ontology of Biological Attributes (OBA)
Biospatial Ontology (BSPO),Ontology,Biospatial Ontology (BSPO)
ENVO,Ontology,ENVO
ZFS,Ontology,ZFS
Protein Common Interface Database (ProtCID),Ontology,Protein Common Interface Database (ProtCID)
ULT,Ontology,ULT
FooDB,Ontology,FooDB
Gene Ontology (GO),Ontology,Gene Ontology (GO)
Ontology for Biomedical Investigations (OBI),Ontology,Ontology for Biomedical Investigations (OBI)
NCIt OBO Edition (NCIT),Ontology,NCIt OBO Edition (NCIT)
SNOMEDCT_US,Ontology,SNOMEDCT_US
PROTEOFORM,Ontology,PROTEOFORM
DOAF,Ontology,DOAF
OPMI,Ontology,OPMI
NPO,Ontology,NPO
COSTAR,Ontology,COSTAR
DRUGBANK,Ontology,DRUGBANK
OTG,Ontology,OTG
HRA KG,KG,HRA KG
HCPT,Ontology,HCPT
ICPC2ICD10ENG,Ontology,ICPC2ICD10ENG
ClinicalTrials.gov,Ontology,ClinicalTrials.gov
SRAO,Ontology,SRAO
BI,Ontology,BI
IAO,Ontology,IAO
CMAP,Ontology,CMAP
STARGEO,Ontology,STARGEO
CCPSS,Ontology,CCPSS
MED-RT,Ontology,MED-RT
Pfam,Ontology,Pfam
BIOMARKER,Ontology,BIOMARKER
MW,Ontology,MW
NANDA-I,Ontology,NANDA-I
ERCCREG,Ontology,ERCCREG
CLO,Ontology,CLO
MEDLINE,Ontology,MEDLINE
NCIT,Ontology,NCIT
C. elegans development ontology (WBls),Ontology,C. elegans development ontology (WBls)
NIC,Ontology,NIC
IDGP,Ontology,IDGP
Uberon,Ontology,Uberon
InterPro,Ontology,InterPro
CCSR_ICD10PCS,Ontology,CCSR_ICD10PCS
Sequence Ontology (SO),Ontology,Sequence Ontology (SO)
PCL,Ontology,PCL
Plant Trait Ontology (TO),Ontology,Plant Trait Ontology (TO)
GENCODEHSCLO,Ontology,GENCODEHSCLO
MTHMST,Ontology,MTHMST
ICF-CY,Ontology,ICF-CY
AZ,Ontology,AZ
Units of Measurement Ontology (UO),Ontology,Units of Measurement Ontology (UO)
OMS,Ontology,OMS
PATRIC,Ontology,PATRIC
Pathway Interaction Database,Ontology,Pathway Interaction Database
UBERON,Ontology,UBERON
Data Distillery,KG,Data Distillery
DOID,Ontology,DOID
DXP,Ontology,DXP
NPOSCKAN,Ontology,NPOSCKAN
MDR,Ontology,MDR
GLYCANS,Ontology,GLYCANS
EFO,Ontology,EFO
MP,Ontology,MP
NCBITaxon,Ontology,NCBITaxon
hetio-dag,Ontology,hetio-dag
Human Protein Atlas,Ontology,Human Protein Atlas
PPAC,Ontology,PPAC
MCM,Ontology,MCM
LCH_NW,Ontology,LCH_NW
UniProt,Ontology,UniProt
CHV,Ontology,CHV
NCI,Ontology,NCI
LabeledIn,Ontology,LabeledIn
ENM,Ontology,ENM
AIR,Ontology,AIR
USP,Ontology,USP
GLYCORDF,Ontology,GLYCORDF
"Environmental conditions, treatments and exposures ontology (ECTO)",Ontology,"Environmental conditions, treatments and exposures ontology (ECTO)"
MGI,Ontology,MGI
LCH,Ontology,LCH
Entrez Gene,Ontology,Entrez Gene
AFR,Ontology,AFR
Petagraph,KG,Petagraph
VCCF,Ontology,VCCF
CPT,Ontology,CPT
RCDAE,Ontology,RCDAE
OMIT,Ontology,OMIT
OBI,Ontology,OBI
NCBI Taxonomy,Ontology,NCBI Taxonomy
CHMO,Ontology,CHMO
MTHICD9,Ontology,MTHICD9
UWDA,Ontology,UWDA
4DN,Ontology,4DN
ICD10AMAE,Ontology,ICD10AMAE
UNIPROT,Ontology,UNIPROT
Gene Ontology,Ontology,Gene Ontology
Evidence and Conclusion Ontology (ECO),Ontology,Evidence and Conclusion Ontology (ECO)
PNDS,Ontology,PNDS
RCDSY,Ontology,RCDSY
PCDS,Ontology,PCDS
MVX,Ontology,MVX
UNIPROTKB,Ontology,UNIPROTKB
SPOKE,KG,SPOKE
HGNC,Ontology,HGNC
MMSL,Ontology,MMSL
HSCL038,Ontology,HSCL038
MSH,Ontology,MSH
ICNP,Ontology,ICNP
SNM,Ontology,SNM
WHO,Ontology,WHO
Environment Ontology (ENVO),Ontology,Environment Ontology (ENVO)
HCPCS,Ontology,HCPCS
VANDF,Ontology,VANDF
GTEXEXP,Ontology,GTEXEXP
MTH,Ontology,MTH
Drosophila Anatomy Ontology (FBbt),Ontology,Drosophila Anatomy Ontology (FBbt)
MeSH,Ontology,MeSH
HSAPDV,Ontology,HSAPDV
ehrlink,Ontology,ehrlink
LMHA,Ontology,LMHA
ORDO,Ontology,ORDO
LINCS L1000,Ontology,LINCS L1000
Vertebrate Breed Ontology (VBO),Ontology,Vertebrate Breed Ontology (VBO)
Kyoto Encyclopedia of Genes and Genomes (KEGG),Ontology,Kyoto Encyclopedia of Genes and Genomes (KEGG)
Mammalian Phenotype Ontology (MP),Ontology,Mammalian Phenotype Ontology (MP)
Medical Action Ontology (MAXO),Ontology,Medical Action Ontology (MAXO)
ICF,Ontology,ICF
NDDF,Ontology,NDDF
LINCS,Ontology,LINCS
PDQ,Ontology,PDQ
DDB,Ontology,DDB
Cell Ontology,Ontology,Cell Ontology
Genomics of Drug Sensitivity in Cancer (GDSC),Ontology,Genomics of Drug Sensitivity in Cancer (GDSC)
AFRL,Ontology,AFRL
PO,Ontology,PO
Ubergraph,KG,Ubergraph
Phenotype and Trait Ontology (PATO),Ontology,Phenotype and Trait Ontology (PATO)
Online Mendelian Inheritance in Man (OMIM),Ontology,Online Mendelian Inheritance in Man (OMIM)
NUCCHCPT,Ontology,NUCCHCPT
NEU,Ontology,NEU
CCS,Ontology,CCS
CCSR_ICD10CM,Ontology,CCSR_ICD10CM
Monarch Disease Ontology (MONDO),Ontology,Monarch Disease Ontology (MONDO)
OBCS,Ontology,OBCS
IDGD,Ontology,IDGD
Protein Ontology (PRO),Ontology,Protein Ontology (PRO)
C. elegans phenotype (WBPhenotype),Ontology,C. elegans phenotype (WBPhenotype)
HRAVS,Ontology,HRAVS
GLYCOCOO,Ontology,GLYCOCOO
SOP,Ontology,SOP
HMAZ,Ontology,HMAZ
CPM,Ontology,CPM
MONDO,Ontology,MONDO
MTHSPL,Ontology,MTHSPL
LNC,Ontology,LNC
CSP,Ontology,CSP
